ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
MRVL,"Marvell Technology, Inc.",80.0,A,17.6,20.7,0.0,-13.33,2,41.2,28.1,Technology,moderate,down -5.9% today; uptrend intact (above EMA200); 21% upside to target; limited dip history,high beta (2.2); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,39.7,-5.9,-32.2,8.72,,209.24,175.09,254.76,252.56422,1.33,False,7.0,1464.68,Sell 2026-07-17 $210 call ~$6.20 (541% ann.),Sell 2026-07-17 $208 put ~$6.35 (558% ann.)
SNDK,Sandisk Corporation,78.8,A,21.6,36.0,0.0,-1.0,1,60.0,46.9,Technology,moderate,down -11.6% today; uptrend intact (above EMA200); 36% upside to target; limited dip history,golden-cross regime; R:R 1.33 below 1.5 floor,Buy,Medium,43.1,-11.6,-26.3,13.18,,1553.56,1243.47,1967.0,2112.318,1.33,False,,,Sell 2026-07-17 $1560 call ~$64.45 (757% ann.),Sell 2026-07-17 $1550 put ~$78.20 (921% ann.)
ARM,Arm Holdings plc,75.5,A,8.4,9.9,1.0,8.65,4,54.4,41.3,Technology,strong,down -3.3% today; uptrend intact (above EMA200); historically bounced 100% of 4 similar dips (avg +8.7%),high short interest (12%); high beta (3.8); golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,38.4,-3.3,-34.1,4.92,,271.85,225.91,333.1,298.83838,1.33,False,5.0,1359.25,Sell 2026-07-17 $272 call ~$9.77 (656% ann.),Sell 2026-07-17 $270 put ~$8.40 (568% ann.)
STRL,"Sterling Infrastructure, Inc.",75.3,A,39.1,46.0,0.5,9.18,2,31.2,36.3,Industrials,moderate,down -4.6% today; uptrend intact (above EMA200); 46% upside to target; limited dip history,high beta (1.8); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,38.1,-4.6,-25.2,2.88,,648.61,561.01,765.41,946.6667,1.33,False,2.0,1297.22,Sell 2026-07-17 $650 call ~$22.20 (625% ann.),Sell 2026-07-17 $640 put ~$13.60 (388% ann.)
GFS,GlobalFoundries Inc.,73.7,B,27.6,32.5,0.5,0.35,2,3.2,-10.0,Technology,moderate,down -3.6% today; uptrend intact (above EMA200); 33% upside to target; limited dip history,high short interest (17%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,33.7,-3.6,-27.1,6.84,,61.12,53.85,70.82,81.0,1.33,False,34.0,2078.08,Sell 2026-07-17 $65 call ~$0.57 (172% ann.),Sell 2026-07-17 $60 put ~$1.23 (373% ann.)
TTMI,"TTM Technologies, Inc.",71.6,B,44.2,52.1,1.0,2.42,1,1.8,-11.3,Technology,,no meaningful dip today,negative free cash flow; high beta (2.1); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,34.3,-1.8,-32.5,3.1,,139.42,119.68,165.73,212.0,1.33,False,12.0,1673.04,Sell 2026-07-17 $140 call ~$3.48 (455% ann.),Sell 2026-07-17 $135 put ~$3.28 (443% ann.)
ON,ON Semiconductor Corporation,69.3,A,13.5,22.6,1.0,2.55,2,2.9,-10.2,Technology,,no meaningful dip today,high short interest (11%); high beta (2.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,42.4,-1.2,-26.4,6.06,,92.62,81.28,107.74,113.52,1.33,False,22.0,2037.64,Sell 2026-07-17 $93 call ~$2.45 (482% ann.),Sell 2026-07-17 $92 put ~$2.84 (564% ann.)
VSH,"Vishay Intertechnology, Inc.",67.2,C,-8.9,-14.8,0.5,-1.19,2,45.6,32.5,Technology,moderate,down -4.4% today; uptrend intact (above EMA200); limited dip history,high short interest (15%); trades above analyst target; negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,34.4,-4.4,-37.2,3.19,,39.92,32.84,49.36,34.0,1.33,False,35.0,1397.2,Sell 2026-07-17 $40 call ~$1.52 (697% ann.),Sell 2026-07-17 $35 put ~$0.25 (130% ann.)
VIAV,Viavi Solutions Inc.,67.0,B,39.4,65.6,0.0,0.0,0,-20.3,-33.4,Technology,moderate,down -6.8% today; uptrend intact (above EMA200); 66% upside to target; limited dip history,strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,36.6,-6.8,-27.9,1.37,,38.99,33.66,46.09,64.57143,1.33,False,46.0,1793.54,Sell 2026-07-17 $39 call ~$1.98 (924% ann.),Sell 2026-07-17 $38 put ~$0.78 (372% ann.)
COHR,Coherent Corp.,64.2,C,28.1,33.0,0.6,5.59,5,-24.3,-37.4,Technology,strong,down -6.3% today; uptrend intact (above EMA200); 33% upside to target; historically bounced 60% of 5 similar dips (avg +5.6%),negative free cash flow; high beta (2.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,35.5,-6.3,-29.6,6.6,,291.16,246.36,350.9,387.36176,1.33,False,5.0,1455.8,Sell 2026-07-17 $295 call ~$11.30 (708% ann.),Sell 2026-07-17 $290 put ~$10.60 (667% ann.)
AA,Alcoa Corporation,63.6,C,20.7,51.7,0.5,-0.14,4,-35.8,-24.3,Basic Materials,,"down -2.7% with upside signals, but history is against it (bounced only 50% of 4 dips)",earnings in 1d; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,30.0,-2.7,-25.6,12.65,,47.76,43.48,53.46,72.44167,1.33,False,58.0,2770.08,Sell 2026-07-17 $48 call ~$1.76 (673% ann.),Sell 2026-07-17 $47 put ~$1.54 (596% ann.)
ALB,Albemarle Corporation,63.4,B,26.1,65.4,0.571,-0.23,7,-46.0,-34.5,Basic Materials,,"down -4.0% with upside signals, but history is against it (bounced only 57% of 7 dips)",golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Low,29.0,-4.0,-26.8,5.49,,123.65,113.67,136.96,204.464,1.33,False,25.0,3091.25,Sell 2026-07-17 $124 call ~$3.74 (552% ann.),Sell 2026-07-17 $123 put ~$1.95 (289% ann.)
ORCL,Oracle Corporation,63.1,B,54.8,91.4,1.0,5.0,2,-33.2,-46.3,Technology,,no meaningful dip today,near 52-week low (support test / falling knife); high leverage (D/E 389%); negative free cash flow; R:R 1.33 below 1.5 floor,Accumulate,Medium,29.7,2.9,-31.5,67.36,,131.6,118.87,148.56,251.8495,1.33,False,19.0,2500.4,Sell 2026-07-17 $132 call ~$2.49 (345% ann.),Sell 2026-07-17 $131 put ~$2.35 (327% ann.)
SWKS,"Skyworks Solutions, Inc.",61.2,B,18.7,31.1,1.0,5.02,2,-12.6,-25.7,Technology,,no meaningful dip today,high short interest (30%); near 52-week low (support test / falling knife); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,Medium,30.8,-0.7,-26.3,4.04,,56.18,50.84,63.3,73.64706,1.33,False,46.0,2584.28,Sell 2026-07-17 $58 call ~$0.78 (252% ann.),Sell 2026-07-17 $55 put ~$0.85 (282% ann.)
VATE,INNOVATE Corp.,61.0,D,,,0.636,13.35,11,-18.8,-13.7,Industrials,,no meaningful dip today,small cap (thinner liquidity); high beta (2.3); golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,High,28.2,1.0,-42.1,1.34,,9.6,7.09,12.96,,1.34,False,99.0,950.4,,
FPS,"Forgent Power Solutions, Inc.",61.0,C,27.3,45.5,0.0,0.0,0,14.6,19.7,Industrials,,no meaningful dip today,high short interest (28%); strong-buy consensus; R:R 1.34 below 1.5 floor,Accumulate,Medium,32.9,0.9,-31.4,1.2,,41.53,35.86,49.1,60.44444,1.34,False,44.0,1827.32,Sell 2026-07-17 $45 call ~$0.25 (110% ann.),Sell 2026-07-17 $40 put ~$0.53 (240% ann.)
RXT,"Rackspace Technology, Inc.",60.6,F,10.9,13.7,0.6,12.28,10,184.5,171.4,Technology,strong,down -7.3% today; uptrend intact (above EMA200); 14% upside to target; historically bounced 60% of 10 similar dips (avg +12.3%),high short interest (21%); small cap (thinner liquidity); high beta (3.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,41.5,-7.3,-27.1,2.7,,4.31,2.81,6.31,4.9,1.33,False,166.0,715.46,Sell 2026-07-17 $4 call ~$0.28 (1164% ann.),Sell 2026-07-17 $4 put ~$0.08 (342% ann.)
GRABW,Grab Holdings Limited Warrant,60.4,A,,,0.333,-0.07,12,-70.9,,,,"down -17.1% but no upside signal (below EMA200, <10% target upside)",near 52-week low (support test / falling knife),Accumulate,Low,33.6,-17.1,-32.0,3.55,,0.03,0.03,0.04,,,False,,,,
LESL,"Leslie's, Inc.",59.0,D,-5.0,-12.6,0.421,-6.33,19,61.1,68.8,Consumer Cyclical,,"down -6.4% but no upside signal (below EMA200, <10% target upside)",high short interest (15%); trades above analyst target; small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,31.0,-6.4,-57.0,1.22,,3.09,0.99,5.89,2.7,1.33,False,119.0,367.71,Sell 2026-07-17 $5 call ~$0.28 (1624% ann.),Sell 2026-07-17 $2 put ~$0.08 (548% ann.)
FN,Fabrinet,58.9,B,33.8,56.4,0.0,0.0,0,-39.2,-52.3,Technology,,no meaningful dip today,negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Medium,36.5,-0.8,-24.6,4.24,,479.11,422.55,554.52,749.1111,1.33,False,4.0,1916.44,Sell 2026-07-17 $480 call ~$12.25 (467% ann.),Sell 2026-07-17 $470 put ~$10.85 (421% ann.)
SOLS,Solstice Advanced Materials Inc,58.6,C,27.2,45.3,0.0,0.0,0,-34.0,-22.5,Basic Materials,moderate,down -4.4% today; 45% upside to target; limited dip history,R:R 1.33 below 1.5 floor,Hold,Medium,31.1,-4.4,-30.1,3.98,,60.55,53.87,69.46,88.0,1.33,False,37.0,2240.35,Sell 2026-07-17 $65 call ~$0.22 (68% ann.),Sell 2026-07-17 $60 put ~$0.93 (281% ann.)
LEGN,Legend Biotech Corporation,57.8,D,115.1,137.9,0.667,6.32,3,1.9,3.2,Healthcare,strong,down -8.8% today; 138% upside to target; historically bounced 67% of 3 similar dips (avg +6.3%),high short interest (16%); negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,High,30.7,-8.8,-34.0,1.14,,23.41,20.78,26.91,55.69467,1.33,False,95.0,2223.95,Sell 2026-07-17 $25 call ~$0.15 (117% ann.),Sell 2026-07-17 $22 put ~$0.50 (406% ann.)
SPCX,Space Exploration Technologies ,54.1,C,31.2,78.0,0.0,0.0,0,,,,,no meaningful dip today,near 52-week low (support test / falling knife); R:R 1.33 below 1.5 floor,Hold,Low,71.8,0.0,-29.3,19.3,,136.1,113.83,165.79,242.22221,1.33,False,11.0,1497.1,Sell 2026-07-17 $137 call ~$2.65 (355% ann.),Sell 2026-07-17 $136 put ~$3.15 (423% ann.)
IONS,"Ionis Pharmaceuticals, Inc.",53.9,F,24.5,71.2,1.0,14.07,1,-36.7,-35.4,Healthcare,,no meaningful dip today,high short interest (14%); high leverage (D/E 531%); negative free cash flow; R:R 1.33 below 1.5 floor,Hold,Low,24.0,-0.9,-26.4,1.06,,54.46,49.13,61.56,93.22727,1.33,False,46.0,2505.16,Sell 2026-07-17 $55 call ~$0.60 (201% ann.),Sell 2026-07-17 $50 put ~$0.12 (46% ann.)
GLXY,Galaxy Digital Inc.,53.7,D,28.2,74.0,0.5,2.45,2,-16.5,-17.7,Financial Services,,no meaningful dip today,high short interest (17%); high beta (3.6); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,36.9,-1.7,-29.2,58.71,,23.82,20.43,28.34,41.4375,1.33,False,73.0,1738.86,Sell 2026-07-17 $24 call ~$0.76 (586% ann.),Sell 2026-07-17 $24 put ~$0.73 (567% ann.)
HUN,Huntsman Corporation,53.6,D,6.5,16.1,0.5,2.67,2,-18.9,-7.5,Basic Materials,,no meaningful dip today,high short interest (12%); golden-cross regime; R:R 1.34 below 1.5 floor,Hold,Low,48.3,0.0,-25.0,5.69,,11.91,10.99,13.14,13.83333,1.34,False,271.0,3227.61,Sell 2026-07-17 $12 call ~$0.28 (421% ann.),Sell 2026-07-17 $11 put ~$0.10 (166% ann.)
TROX,Tronox Holdings plc,53.6,F,14.0,26.1,0.714,4.6,7,-42.3,-30.8,Basic Materials,strong,down -2.7% today; 26% upside to target; historically bounced 71% of 7 similar dips (avg +4.6%),high short interest (22%); negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Medium,33.4,-2.7,-25.0,2.92,,6.02,5.38,6.87,7.59375,1.33,False,390.0,2347.8,Sell 2026-07-17 $7 call ~$0.03 (76% ann.),Sell 2026-07-17 $6 put ~$0.15 (456% ann.)
CRWV,"CoreWeave, Inc.",53.1,F,28.5,83.7,0.5,-2.45,2,-42.9,-56.0,Technology,moderate,down -3.9% today; 84% upside to target; limited dip history,high short interest (27%); high leverage (D/E 739%); negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,34.0,-3.9,-28.0,6.23,,76.82,65.67,91.68,141.15152,1.33,False,22.0,1690.04,Sell 2026-07-17 $78 call ~$2.31 (550% ann.),Sell 2026-07-17 $76 put ~$1.71 (412% ann.)
RDNW,"RideNow Group, Inc.",52.2,F,27.8,53.5,0.636,9.51,11,-17.9,-10.2,Consumer Cyclical,,no meaningful dip today,high short interest (11%); negative free cash flow; small cap (thinner liquidity); golden-cross regime; R:R 1.35 below 1.5 floor,Hold,Medium,32.5,0.8,-24.9,1.1,,5.86,5.21,6.74,9.0,1.35,False,384.0,2250.24,Sell 2026-07-17 $8 call ~$0.47 (1478% ann.),Sell 2026-07-17 $2 put ~$0.03 (182% ann.)
HTZ,"Hertz Global Holdings, Inc",52.1,F,44.8,128.3,0.5,0.53,10,-82.5,-77.5,Industrials,,no meaningful dip today,high short interest (72%); near 52-week low (support test / falling knife); negative free cash flow; small cap (thinner liquidity); high beta (2.2); R:R 1.33 below 1.5 floor,Hold,Low,23.9,5.4,-62.2,8.7,,1.94,1.51,2.51,4.42857,1.33,False,581.0,1127.14,Sell 2026-07-17 $2 call ~$0.04 (423% ann.),Sell 2026-07-17 $2 put ~$0.01 (61% ann.)
NEGG,"Newegg Commerce, Inc.",51.6,D,,,0.231,-4.47,13,-77.9,-70.3,Consumer Cyclical,,"down -2.3% but no upside signal (below EMA200, <10% target upside)",high short interest (28%); near 52-week low (support test / falling knife); small cap (thinner liquidity); high beta (3.5); R:R 1.33 below 1.5 floor,Hold,Low,27.9,-2.3,-26.0,1.4,,13.76,11.79,16.38,,1.33,False,126.0,1733.76,,
FLNC,"Fluence Energy, Inc.",48.0,F,8.1,24.1,0.545,1.36,11,3.1,13.1,Utilities,moderate,down -3.1% today; 24% upside to target; bounce history mixed (55% of 11),high short interest (39%); negative free cash flow; high beta (2.8); golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Low,37.4,-3.1,-37.4,2.58,,15.13,11.95,19.37,18.77778,1.33,False,78.0,1180.14,Sell 2026-07-17 $16 call ~$0.40 (482% ann.),Sell 2026-07-17 $15 put ~$0.72 (882% ann.)
CLF,Cleveland-Cliffs Inc.,48.0,F,4.6,12.3,0.5,1.03,6,-11.4,0.1,Basic Materials,,no meaningful dip today,earnings in 7d; high short interest (14%); negative free cash flow; high beta (2.1); R:R 1.34 below 1.5 floor,Hold,Low,38.2,-1.2,-29.1,18.9,,9.67,8.81,10.82,10.86,1.34,False,290.0,2804.3,Sell 2026-07-17 $10 call ~$0.13 (245% ann.),Sell 2026-07-17 $10 put ~$0.18 (355% ann.)
OPTU,"Optimum Communications, Inc.",47.9,D,7.2,18.3,0.429,-2.09,7,-48.5,-37.4,Communication Services,,no meaningful dip today,high short interest (30%); small cap (thinner liquidity); R:R 1.36 below 1.5 floor,Hold,Low,41.8,-0.5,-26.1,8.5,,1.0,0.72,1.38,1.18889,1.36,False,892.0,892.0,Sell 2026-07-17 $2 call ~$0.03 (454% ann.),Sell 2026-07-17 $1 put ~$0.08 (1369% ann.)
LUMN,"Lumen Technologies, Inc.",47.2,F,14.1,29.6,0.667,13.49,9,-33.6,-22.5,Communication Services,,no meaningful dip today,negative free cash flow; golden-cross regime; R:R 1.36 below 1.5 floor,Hold,Medium,30.5,1.0,-24.6,12.12,,6.43,5.79,7.3,8.34,1.36,False,390.0,2507.7,Sell 2026-07-17 $6 call ~$0.14 (397% ann.),Sell 2026-07-17 $6 put ~$0.02 (61% ann.)
PSNY,Polestar Automotive Holding UK ,46.9,F,7.9,15.1,0.833,7.53,18,-24.5,-16.9,Consumer Cyclical,,no meaningful dip today,negative free cash flow; golden-cross regime; R:R 1.33 below 1.5 floor,Hold,Medium,31.4,-0.7,-26.7,3.06,,15.2,13.04,18.08,17.5,1.33,False,115.0,1748.0,Sell 2026-07-17 $18 call ~$0.25 (300% ann.),Sell 2026-07-17 $15 put ~$0.40 (487% ann.)
