ticker,company,score,quality_grade,expected_gain_%,analyst_upside_%,hist_win_rate,hist_avg_return_%,hist_trades,rs_vs_spy,rs_vs_sector,sector,csp_signal,csp_reason,risk_flags,action,confidence,rsi,day_%,month_%,revenue_$B,institutional_%,entry,stop_loss,target1,target2,risk_reward,rr_pass,suggested_shares,position_value,covered_call,cash_secured_put
MRVL,"Marvell Technology, Inc.",78.8,A,28.1,33.1,0.0,-13.33,2,21.2,10.8,Technology,moderate,down -7.6% today; uptrend intact (above EMA200); 33% upside to target; limited dip history,high beta (2.2); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,36.0,-7.6,-31.6,8.72,,190.58,156.61,235.86,253.68922,1.33,False,7.0,1334.06,Sell 2026-07-17 $192 call ~$3.92 (752% ann.),Sell 2026-07-17 $190 put ~$4.00 (768% ann.)
SNDK,Sandisk Corporation,78.8,A,41.0,48.2,0.0,-1.0,1,50.7,40.3,Technology,moderate,down -10.4% today; uptrend intact (above EMA200); 48% upside to target; limited dip history,golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,40.6,-10.4,-27.4,13.18,,1446.55,1137.27,1858.93,2144.1365,1.33,False,,,Sell 2026-07-17 $1450 call ~$51.35 (1296% ann.),Sell 2026-07-17 $1445 put ~$49.60 (1253% ann.)
WDC,Western Digital Corporation,77.2,A,29.2,34.4,1.0,11.33,2,17.8,7.5,Technology,moderate,down -8.6% today; uptrend intact (above EMA200); 34% upside to target; limited dip history,high beta (2.2); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,38.5,-8.6,-31.0,11.78,,469.74,390.19,575.81,631.125,1.33,False,3.0,1409.22,Sell 2026-07-17 $470 call ~$14.28 (1109% ann.),Sell 2026-07-17 $468 put ~$12.70 (992% ann.)
STX,Seagate Technology Holdings PLC,76.0,A,27.0,31.8,1.0,10.79,1,33.1,22.7,Technology,moderate,down -8.3% today; uptrend intact (above EMA200); 32% upside to target; limited dip history,high leverage (D/E 382%); high beta (2.1); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,38.7,-8.3,-26.3,11.01,,759.68,646.12,911.11,1001.0,1.33,False,2.0,1519.36,Sell 2026-07-17 $760 call ~$24.60 (1182% ann.),Sell 2026-07-17 $755 put ~$14.15 (684% ann.)
ARM,Arm Holdings plc,75.5,A,15.8,18.6,1.0,8.65,4,38.6,28.3,Technology,strong,down -7.5% today; uptrend intact (above EMA200); 19% upside to target; historically bounced 100% of 4 similar dips (avg +8.7%),high short interest (12%); high beta (3.8); golden-cross regime; R:R 1.33 below 1.5 floor,Buy,High,35.9,-7.5,-35.3,4.92,,256.33,210.8,317.04,303.9735,1.33,False,5.0,1281.65,Sell 2026-07-17 $258 call ~$6.30 (897% ann.),Sell 2026-07-17 $255 put ~$5.75 (823% ann.)
GFS,GlobalFoundries Inc.,71.9,B,32.8,38.6,0.5,0.35,2,-8.2,-18.5,Technology,moderate,down -4.9% today; uptrend intact (above EMA200); 39% upside to target; limited dip history,high short interest (17%); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,31.4,-4.9,-26.8,6.84,,58.42,51.12,68.16,81.0,1.33,False,34.0,1986.28,Sell 2026-07-17 $60 call ~$0.75 (469% ann.),Sell 2026-07-17 $55 put ~$0.38 (249% ann.)
TTMI,"TTM Technologies, Inc.",71.6,B,50.0,58.8,1.0,2.42,1,-1.7,-12.0,Technology,moderate,down -7.1% today; uptrend intact (above EMA200); 59% upside to target; limited dip history,negative free cash flow; high beta (2.1); strong-buy consensus; golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,32.6,-7.1,-33.1,3.1,,133.48,114.04,159.4,212.0,1.33,False,12.0,1601.76,Sell 2026-07-17 $135 call ~$3.25 (889% ann.),Sell 2026-07-17 $130 put ~$1.65 (463% ann.)
VIAV,Viavi Solutions Inc.,71.2,B,62.8,73.9,0.0,0.0,0,-24.5,-34.9,Technology,moderate,down -7.4% today; uptrend intact (above EMA200); 74% upside to target; limited dip history,strong-buy consensus; golden-cross regime; R:R 1.34 below 1.5 floor,Accumulate,High,33.9,-7.4,-25.9,1.37,,37.13,31.81,44.24,64.57143,1.34,False,46.0,1707.98,Sell 2026-07-17 $38 call ~$1.05 (1032% ann.),Sell 2026-07-17 $37 put ~$0.80 (789% ann.)
AGI,Alamos Gold Inc.,71.0,A,41.4,69.0,0.0,-5.64,1,-50.3,-41.6,Basic Materials,moderate,down -3.2% today; 69% upside to target; limited dip history,strong-buy consensus; R:R 1.33 below 1.5 floor,Accumulate,Medium,32.3,-3.2,-26.9,2.07,,28.1,25.74,31.25,47.5,1.33,False,105.0,2950.5,Sell 2026-07-17 $29 call ~$0.15 (195% ann.),Sell 2026-07-17 $28 put ~$0.35 (456% ann.)
COHR,Coherent Corp.,70.0,C,33.6,39.6,0.6,5.59,5,-27.6,-37.9,Technology,strong,down -6.9% today; uptrend intact (above EMA200); 40% upside to target; historically bounced 60% of 5 similar dips (avg +5.6%),negative free cash flow; high beta (2.0); golden-cross regime; R:R 1.33 below 1.5 floor,Accumulate,High,33.3,-6.9,-27.2,6.6,,278.64,233.7,338.57,388.95267,1.33,False,5.0,1393.2,Sell 2026-07-17 $280 call ~$8.10 (1061% ann.),Sell 2026-07-17 $278 put ~$6.65 (875% ann.)
